goal,element,po_water,hd_mpa_coast,hd_mpa_eez,hd_habitat,sp_alien_species,fp_mpa_coast,fp_mpa_eez,fp_habitat,fp_mora,fp_mora_artisanal,g_tourism,g_mariculture,g_msi_gov,g_cites,species_diversity_3nm,species_diversity_eez,wgi_all,res_spi,res_ordinance,li_gci,li_sector_evenness
CW,,x,,,,,,,,,,,,,,,,x,x,x,,
ECO,,,,,,,,,,,,,,,,,,x,x,x,x,
FIS,,,,x,x,,,x,x,x,x,,,,,,x,x,x,x,,
HAB,coral,x,x,,x,,x,,x,,x,x,x,,,x,,x,x,x,,
HAB,mangrove,,x,,x,,,,,,,x,x,,,x,,x,x,x,,
HAB,saltmarsh,x,x,,x,,,,,,,x,x,,,x,,x,x,x,,
HAB,seagrass,x,x,,x,,,,,,,x,x,,,x,,x,x,x,,
HAB,seaice_edge,,,,,,,,,,,x,x,,,,x,x,x,x,,
HAB,soft_bottom,x,,x,x,,,x,x,x,,x,x,,,,x,x,x,x,,
SPP,,x,,x,x,,,x,x,x,x,x,x,,x,,,x,x,x,,
LIV,,,,,,,,,,,,,,,,,,x,x,x,x,x
MAR,,x,,,,,,,,,,,x,x,,,,x,x,x,,
